302.6236 	EXP 	Set  sound=stimuli/audiosegment/3000hz_minus_30dBFS.wav
302.6236 	EXP 	Sound  started
304.6089 	EXP 	Sound  stopped
304.6095 	EXP 	Set  sound=stimuli/audiosegment/3000hz_minus_40dBFS.wav
304.6095 	EXP 	Sound  started
306.5948 	EXP 	Sound  stopped
306.5954 	EXP 	Set  sound=stimuli/audiosegment/3000hz_minus_50dBFS.wav
306.5954 	EXP 	Sound  started
308.5807 	EXP 	Sound  stopped
308.5813 	EXP 	Set  sound=stimuli/audiosegment/3000hz_minus_60dBFS.wav
308.5813 	EXP 	Sound  started
310.5665 	EXP 	Sound  stopped
310.5671 	EXP 	Set  sound=stimuli/audiosegment/3000hz_minus_70dBFS.wav
310.5672 	EXP 	Sound  started
312.5524 	EXP 	Sound  stopped
312.5530 	EXP 	Set  sound=stimuli/audiosegment/3000hz_minus_80dBFS.wav
312.5531 	EXP 	Sound  started
314.5383 	EXP 	Sound  stopped
314.5389 	EXP 	Set  sound=stimuli/audiosegment/3000hz_minus_90dBFS.wav
314.5389 	EXP 	Sound  started
316.3239 	DATA 	Keypress: 7
316.5238 	EXP 	Sound  stopped
316.5244 	EXP 	Set  sound=stimuli/audiosegment/4000hz_minus_20dBFS.wav
316.5244 	EXP 	Sound  started
318.5097 	EXP 	Sound  stopped
318.5102 	EXP 	Set  sound=stimuli/audiosegment/4000hz_minus_30dBFS.wav
318.5102 	EXP 	Sound  started
320.4955 	EXP 	Sound  stopped
320.4961 	EXP 	Set  sound=stimuli/audiosegment/4000hz_minus_40dBFS.wav
320.4961 	EXP 	Sound  started
322.4814 	EXP 	Sound  stopped
322.4820 	EXP 	Set  sound=stimuli/audiosegment/4000hz_minus_50dBFS.wav
322.4820 	EXP 	Sound  started
324.4673 	EXP 	Sound  stopped
324.4679 	EXP 	Set  sound=stimuli/audiosegment/4000hz_minus_60dBFS.wav
324.4679 	EXP 	Sound  started
326.4515 	EXP 	Sound  stopped
326.4521 	EXP 	Set  sound=stimuli/audiosegment/4000hz_minus_70dBFS.wav
326.4522 	EXP 	Sound  started
328.4374 	EXP 	Sound  stopped
328.4380 	EXP 	Set  sound=stimuli/audiosegment/4000hz_minus_80dBFS.wav
328.4381 	EXP 	Sound  started
330.2234 	DATA 	Keypress: 7
330.4233 	EXP 	Sound  stopped
